"","ProcessName","Metric","Description","Units","Value","StdDev","ProcessGroup"
"160","Electrochemical Process with Column Stripping and Absorption","NH3-NH4 recovery efficiency","Excluding periods when stripping was off","%",39.8,24.2430196139012,"Electrodialysis with stripping and absorption"
"161","Electrochemical Process with Column Stripping and Absorption","NH3-NH4 removal rate","Removal capacity","kg N/m^3/d",9.12881333333333,4.28591802549932,"Electrodialysis with stripping and absorption"
"162","Electrochemical Process with Column Stripping and Absorption","NH3-NH4 recovery rate","At 20 A/sq-m with phosphate buffer absorbent","kg N/m^3/d",2.00767,0.493852366628936,"Electrodialysis with stripping and absorption"
"163","Electrochemical Process with Column Stripping and Absorption","Energy consumption for N recovery","At 20 A/sq-m with phosphate buffer absorbent; including electrochemical cell, feed and recirculation pumps, and gas recirculation pump","MJ/kg N",41.76,17.404148930643,"Electrodialysis with stripping and absorption"
"164","Electrochemical Process with Column Stripping and Absorption","NH3-NH4 recovery flux","","kg N/m^2/d",NA,0,"Electrodialysis with stripping and absorption"
"165","Electrochemical Process with Membrane Stripping and Absorption or Transmembrane Chemisorption","NH3-NH4 removal rate","At 20 A/sq-m with phosphate buffer absorbent","kg N/m^3/d",4.90245,0.282842712474619,"Electrodialysis with stripping and absorption"
"166","Electrochemical Process with Membrane Stripping and Absorption or Transmembrane Chemisorption","NH3-NH4 recovery flux","At 20 A/sq-m with phosphate buffer absorbent","kg N/m^2/d",NA,NA,"Electrodialysis with stripping and absorption"
"167","Electrochemical Process with Membrane Stripping and Absorption or Transmembrane Chemisorption","NH3-NH4 removal efficiency","At 20 A/sq-m with phosphate buffer absorbent","%",73.25,19.0271209943421,"Electrodialysis with stripping and absorption"
"168","Electrochemical Process with Membrane Stripping and Absorption or Transmembrane Chemisorption","NH3-NH4 recovery efficiency","At 20 A/sq-m with phosphate buffer absorbent","%",63.675,19.1161711647495,"Electrodialysis with stripping and absorption"
"169","Electrochemical Process with Membrane Stripping and Absorption or Transmembrane Chemisorption","NH3-NH4 recovery rate","At 20 A/sq-m with phosphate buffer absorbent","kg N/m^3/d",NA,NA,"Electrodialysis with stripping and absorption"
"170","Electrochemical Process with Membrane Stripping and Absorption or Transmembrane Chemisorption","Energy consumption for N removal","At 20 A/sq-m with phosphate buffer absorbent; including electrochemical cell and feed and recirculation pumps","MJ/kg N",74.24,57.9838384379647,"Electrodialysis with stripping and absorption"
"171","Electrochemical Process with Membrane Stripping and Absorption or Transmembrane Chemisorption","Energy consumption for N recovery","At 20 A/sq-m with phosphate buffer absorbent; including electrochemical cell and feed and recirculation pumps","MJ/kg N",22.68,1.51657508881031,"Electrodialysis with stripping and absorption"
"172","Electrochemical Stripping (ECS)","NH3-NH4 removal efficiency","Ratio of difference between steady-state influent and effluent anode concentrations to steady-state influent anode concentration (continuous, real urine)","%",60.6,0,"Electrodialysis with stripping and absorption"
"173","Electrochemical Stripping (ECS)","NH3-NH4 recovery efficiency","Ratio of final trap chamber concentration to initial anode chamber concentration (batch, real urine)","%",71.15,24.9972291797844,"Electrodialysis with stripping and absorption"
"174","Electrochemical Stripping (ECS)","NH3-NH4 recovery flux","Nitrogen flux from cathode to trap; Calculated by mass balance using anode flow rate, steady-state concentration in the trap (average of concentrations at 3, 4, and 5 HRTs), and membrane area (continuous, real urine)","kg N/m^2/d",NA,0,"Electrodialysis with stripping and absorption"
"175","Electrochemical Stripping (ECS)","Energy consumption for N recovery","Based on full cell potential, flux from anode to cathode, and pumping energy for each chamber (continuous, real urine)","MJ/kg N",30.6,0,"Electrodialysis with stripping and absorption"
"176","Electrochemical Stripping (ECS)","N recovery efficiency","Fraction of total nitrogen in feed water that was in the trap chamber at the end of the experiment (ECS only)","%",86,0,"Electrodialysis with stripping and absorption"
"177","Electrochemical Urea Oxidation","Effluent NO2 concentration","Peak over course of batch reaction; undivided reactor","mg/L N",1.2,0.346410161513776,"Oxidation Processes"
"178","Electrochemical Urea Oxidation","Effluent NO3 concentration","Undivided reactor; synthetic urine; 3 V; at 240 minutes during batch reaction (estimated from Fig. 4)","mg/L N",37.625,35.362746068763,"Oxidation Processes"
"179","Electrochemical Urea Oxidation","Effluent NH3-NH4 concentration","Undivided reactor; synthetic urine; 3 V; at 240 minutes during batch reaction (estimated from Fig. 4)","mg/L N",24.375,27.4223289854113,"Oxidation Processes"
"180","Electrocoagulation","Cost for P recovery","Based on energy, chemicals, and metal materials and excluding manpower costs and market value of recovered phosphate and conditions needed to reach 99% recovery (iron electrode, current density of 3.75 mA/sq-cm, initial pH of 3, 80 minutes)","$/kg P",1.92,0,"Electrocoagulation"
"181","Electrocoagulation","PO4 recovery efficiency","At optimal current density of 3.75 mA/sq-cm and initial pH of 7 with iron electrode (after 10 minutes)","%",NA,NA,"Electrocoagulation"
"182","Electrocoagulation","PO4 removal efficiency","For primary effluent after 5 working cycles (5 min coagulation, 50 sec charging) with Fe-MEAEC","%",94.3333333333333,4.94974746830583,"Electrocoagulation"
"183","Electrocoagulation","Effluent PO4 concentration","For primary effluent after 5 working cycles with Fe-MEAEC","mg/L P",0.0745367251915539,0.029014797565847,"Electrocoagulation"
"184","Electrodialysis with Struvite Formation","PO4 recovery efficiency","Phosphate recovered with the integrated SED-struvite reactor process","%",93,0,"Electrodialysis"
"185","Electrodialysis with Struvite Formation","PO4 removal flux","Phosphate flux for the system","kg P/m^2/d",0.0118928003588449,0,"Electrodialysis"
"186","Electrodialysis with Struvite Formation","Energy consumption for P recovery","Cost evaluation of phosphate production by using a full scale stack","MJ/kg P",60.012,0,"Electrodialysis"
"187","Electrodialysis with Struvite Formation","Effluent PO4 concentration","Phosphate in struvite reactor effluent","mg/L P",15.7947,0.369349139252628,"Electrodialysis"
"188","Electrodialysis","NH3-NH4 removal efficiency","For additional nitrogen loading of 2 g N/L and electrochemical pH control (Phase IVg)","%",27,6.68829823896433,"Electrodialysis"
"189","Electrodialysis","Energy consumption for N removal","For additional nitrogen loading of 2 g N/L and electrochemical pH control (Phase IVg)","MJ/kg N",NA,NA,"Electrodialysis"
"190","Electrodialysis","N removal efficiency","Pre-treatment for anaerobic digestion process","%",87,0,"Electrodialysis"
"191","Electrodialysis","Energy consumption for N recovery","Based on applied voltage and excluding pumping costs","MJ/kg N",NA,1.22474487139159,"Electrodialysis"
"192","Electrodialysis","P removal efficiency","Overall phosphorus","%",17,0,"Electrodialysis"
"193","Electrodialysis","PO4 removal flux","Overall average molar ionic flux density; phosphate; Concentration difference between feed and dilute stream out divided by run time and total effective membrane area (3.6 sq-m)","kg P/m^2/d",NA,0.0435889894354067,"Electrodialysis"
"194","Electrolysis-integrated, biochar-amended, horizontal, subsurface-flow, constructed wetland (E-BHFCW)","Effluent TN concentration","Total nitrogen (TN) concentrations in effluent in phase 1 (current density: 0.08 mA/cm2, electrolytic time: 6 h/d)","mg/L N",7.52,0.926687649642532,"Electrolysis-Integrated Wetland"
"195","Electrolysis-integrated, biochar-amended, horizontal, subsurface-flow, constructed wetland (E-BHFCW)","TN removal efficiency","Total nitrogen (TN) removal rate in phase 1","%",55.436,8.51181678609216,"Electrolysis-Integrated Wetland"
"196","Electrolysis-integrated, biochar-amended, horizontal, subsurface-flow, constructed wetland (E-BHFCW)","TN removal flux","removal load rate = [influent(mg/L) - effluent(mg/L)]/the area of CW(m2)/day; TN removal load rate in phase 1","kg N/m^2/d",4.7854e-05,9.27005753308751,"Electrolysis-Integrated Wetland"
"197","Electrolysis-integrated, biochar-amended, horizontal, subsurface-flow, constructed wetland (E-BHFCW)","NO3 removal flux","Nitrate removal load rate; Phase 1","kg N/m^2/d",4.6522e-05,10.9919303733889,"Electrolysis-Integrated Wetland"
"198","Electrolysis-integrated, biochar-amended, horizontal, subsurface-flow, constructed wetland (E-BHFCW)","Effluent PO4 concentration","PO34--P concentration in effluent in phase 1","mg/L P",0.095,0.0866025403784439,"Electrolysis-Integrated Wetland"
"199","Electrolysis-integrated, biochar-amended, horizontal, subsurface-flow, constructed wetland (E-BHFCW)","PO4 removal efficiency","PO34--P removal rate in phase 1","%",75.072,11.5500963199447,"Electrolysis-Integrated Wetland"
"200","Electrolysis-integrated, biochar-amended, horizontal, subsurface-flow, constructed wetland (E-BHFCW)","PO4 removal flux","PO34--P removal load rate in phase 1","kg P/m^2/d",1.804e-06,0.34978564864795,"Electrolysis-Integrated Wetland"
"201","Enhanced Biological Phosphorus Removal (EBPR) with Co-precipitation","TN removal efficiency","Total nitrogen removal through reactor, entire operating period","%",96,4.61880215351701,"EBPR with co-precipitation"
"202","Enhanced Biological Phosphorus Removal (EBPR) with Co-precipitation","P removal efficiency","Phosphorus removal through reactor, days 0-100","%",53.2,12.737739202857,"EBPR with co-precipitation"
"203","Enhanced Biological Phosphorus Removal (EBPR) with Co-precipitation","Effluent P concentration","Effluent P concentration from the AAT reactor, after 50 days of enrichment; less than value listed","mg/L P",NA,NA,"EBPR with co-precipitation"
"204","Enhanced Biological Phosphorus Removal (EBPR) with Co-precipitation","P recovery efficiency","Recovery of phosphorus through system, LFR=0.3, through PRC","%",55.25,4.67653718043599,"EBPR with co-precipitation"
"205","Filtration Microbial Desalination Cell (F-MDC)","TN recovery efficiency","TN in the final concentrate/TN in the anode influent; real wastewater","%",74.1,0,"Bio-electrodialysis"
"206","Filtration Microbial Desalination Cell (F-MDC)","TP recovery efficiency","TP in the final concentrate / TP in the influent; real wastewater","%",89.6,0,"Bio-electrodialysis"
"207","Filtration Microbial Desalination Cell (F-MDC)","Effluent NH3-NH4 concentration","diluate; real wastewater","mg/L N",1.1,0.316227766016838,"Bio-electrodialysis"
"208","Filtration Microbial Desalination Cell (F-MDC)","Effluent NO3 concentration","diluate; real wastewater","mg/L N",0,0.316227766016838,"Bio-electrodialysis"
"209","Filtration Microbial Desalination Cell (F-MDC)","Effluent NO2 concentration","diluate; real wastewater","mg/L N",0,0.316227766016838,"Bio-electrodialysis"
"210","Filtration Microbial Desalination Cell (F-MDC)","Effluent TN concentration","diluate; real wastewater","mg/L N",1.1,0.316227766016838,"Bio-electrodialysis"
"211","Filtration Microbial Desalination Cell (F-MDC)","Effluent TP concentration","TP; diluate; real wastewater","mg/L P",0.2,0.316227766016838,"Bio-electrodialysis"
"212","Fixed-Bed Adsorption","PO4 removal efficiency","Phosphate; (Co  Ct)/Ct. e.g. (2.5  0.5)/2.5. calculated from column test data. Greater than value listed for 6500 BV","%",78.5,1.73205080756888,"Ion Exchange/Adsorption"
"213","Fixed-Bed Adsorption","Effluent TP concentration","Mean effluent TP concentration during the first 5 years of the filters operation","mg/L P",4.36666666666667,3.55984550226551,"Ion Exchange/Adsorption"
"214","Fixed-Bed Adsorption","Effluent NH3-NH4 concentration","1993-1994","mg/L N",11.15,4.81421506236133,"Ion Exchange/Adsorption"
"215","Fixed-Bed Adsorption","Effluent TIN concentration","1993-1994","mg/L N",10.7,5.27794151792786,"Ion Exchange/Adsorption"
"216","Fixed-Bed Adsorption","P removal efficiency","Dolomite, field test, lower value","%",62.572,30.1167003674978,"Ion Exchange/Adsorption"
"217","Fixed-Bed Adsorption","P removal rate","Wollastonite powder and tailings, column, greater than value listed","kg P/m^3/d",NA,0,"Ion Exchange/Adsorption"
"218","Fixed-Bed Adsorption","N removal efficiency","Predicted by model based on observed data for flow rate of 119.43 mL/min; column depth of 1.07 cm; 80 mg/L NH4 influent","%",46.7988888888889,9.03198497009378,"Ion Exchange/Adsorption"
"219","Flow Electrode Capacitive Deionization","Effluent NH3-NH4 concentration","0 wt % carbon; synthetic; during charging phase; 1 cycle (estimated from Figure 2)","mg/L N",4.66666666666667,5.81859089470982,"Capacitive Deionization"
"220","Flow Electrode Capacitive Deionization","Energy consumption for N recovery","Charge efficiency for ammonium; Synthetic; 0 wt % carbon; 1 cycle (standard deviation estimated from Figure 2)","MJ/kg N",239.22,116.257670141228,"Capacitive Deionization"
"221","Flow Electrode Capacitive Deionization","NH3-NH4 recovery efficiency","Fraction of ammonium in cathode electrolyte; Synthetic; 5 wt % carbon; 1 cycle","%",64.1,21.7280157093709,"Capacitive Deionization"
"222","Flow Electrode Capacitive Deionization","Effluent N concentration","5 wt % carbon; anaerobic MBR effluent; during discharge phase; 3 cycles (estimated from Figure S5)","mg/L N",30,17.3205080756888,"Capacitive Deionization"
"223","Flow Electrode Capacitive Deionization","NH3-NH4 removal efficiency","Ammonium; 5 wt % carbon","%",92.225,5.64842160843781,"Capacitive Deionization"
"224","Flow Electrode Capacitive Deionization","NO3 removal efficiency","Nitrate; 5 wt % carbon","%",89.9,7.10877392147654,"Capacitive Deionization"
"225","Flow Electrode Capacitive Deionization","PO4 removal efficiency","Phosphate; 5 wt % carbon","%",65.7,16.8360327868533,"Capacitive Deionization"
"226","Flow Electrode Capacitive Deionization","NO3 recovery efficiency","Nitrate (maximum)","%",89.4,1.30384048104053,"Capacitive Deionization"
"227","Flow Electrode Capacitive Deionization","PO4 recovery efficiency","Phosphate (maximum)","%",72.5,1.30384048104053,"Capacitive Deionization"
"228","Flow Electrode Capacitive Deionization","Effluent NO3 concentration","Nitrate; 5 wt % carbon","mg/L N",2.275,1.32941089710192,"Capacitive Deionization"
"229","Flow Electrode Capacitive Deionization","Effluent PO4 concentration","Phosphate; 5 wt % carbon","mg/L P",3.6,1.61162443929513,"Capacitive Deionization"
"230","Flow Electrode Capacitive Deionization","Energy consumption for P removal","Phosphate; 5 wt % carbon","MJ/kg P",103.5,37.9374643327674,"Capacitive Deionization"
"231","Fluidized Bed-Cathode Microbial Electrolysis Cell","TP removal efficiency","Conversion efficiency = Phosphorus removal in the fluidized bed cathode calculated as difference between influent total P and effluent soluble P (accounts for precipitate retained in reactor and leaving reactor); at 0.8 V applied (intermediate) (estimated from Figure 2)","%",76.3333333333333,6.72681202353685,"Microbial Electrolysis Cell"
"232","Fluidized Bed-Cathode Microbial Electrolysis Cell","PO4 recovery efficiency","Precipitation efficiency within the fluidized bed reactor cathode calculated as different between influent and effluent total P concentrations (measure of precipitate retained); at 0.8 V applied (maximum) (standard deviation estimated from Figure 2)","%",69,5.93717104351896,"Microbial Electrolysis Cell"
"233","Fluidized Bed-Cathode Microbial Electrolysis Cell","Energy consumption for P recovery","Based on pumping and applied potential; at 0.8 V","MJ/kg P",27.72,6.24026441747462,"Microbial Electrolysis Cell"
"234","Fluidized Bed-Cathode Microbial Electrolysis Cell","Energy consumption for P removal","Based on pumping and applied potential; at 0.8 V (estimated from Figure 4)","MJ/kg P",28.08,6.54745752181716,"Microbial Electrolysis Cell"
"235","Fluidized Bed-Cathode Microbial Electrolysis Cell","Effluent PO4 concentration","Effluent soluble P from cathode; at 1.4 V","mg/L P",11.3,3.16267292017369,"Microbial Electrolysis Cell"
"236","Fluidized Bed-Cathode Microbial Electrolysis Cell","Effluent TP concentration","Effluent total P from cathode; at 0.8 V","mg/L P",14,1.87082869338697,"Microbial Electrolysis Cell"
"237","Fluidized Bed-Cathode Microbial Electrolysis Cell","TP removal rate","Conversion rate; at 0.8 V (estimated from Figure 4)","kg P/m^3/d",0.151,6.28525594148719,"Microbial Electrolysis Cell"
"238","Fluidized Bed-Cathode Microbial Electrolysis Cell","PO4 recovery rate","Precipitation rate; at 0.8 V","kg P/m^3/d",0.141,10.3684062540971,"Microbial Electrolysis Cell"
"239","Forward Osmosis with Membrane Distillation","NH3-NH4 removal efficiency","Rejection rate of ammonium In FO unit; greater than value listed","%",90,0,"Membrane distillation"
"240","Forward Osmosis with Membrane Distillation","PO4 removal efficiency","Rejection rate of orthophosphate In FO unit; greater than value listed","%",97,0,"Membrane distillation"
"241","Forward Osmosis with Ultrafiltration","Effluent TP concentration","Draw solution from Day 48 to 124 (minimum); estimated from Figure 8","mg/L P",5,5.77350269189626,"Membrane filtration"
"242","Forward Osmosis with Ultrafiltration","Effluent NO3 concentration","Draw solution from Day 48 to 124 (minimum); estimated from Figure 8","mg/L N",41.5,30.5995642670502,"Membrane filtration"
"243","Forward Osmosis with Ultrafiltration","N removal efficiency","Both OMBR and UFO-MBR exceeded value","%",82,0,"Membrane filtration"
"244","Forward Osmosis with Ultrafiltration","P removal efficiency","Both OMBR and UFO-MBR exceeded value","%",99,0,"Membrane filtration"
"245","Forward Osmosis","TN removal efficiency","Membrane rejection for total nitrogen","%",60,0,"Membrane filtration"
"246","Forward Osmosis","TP removal efficiency","Membrane rejection for total nitrogen and total phosphorus","%",100,0,"Membrane filtration"
"247","Forward Osmosis","Effluent NH3-NH4 concentration","Permeate; minimum from Figure 4a","mg/L N",22.5,16.7431578064991,"Membrane filtration"
"248","Forward Osmosis","Effluent TP concentration","Permeate; approximate from Figure 4b","mg/L P",0.5,0,"Membrane filtration"
"249","Forward Osmosis","Effluent TN concentration","Permeate; minimum from Figure 4a","mg/L N",22.5,16.7431578064991,"Membrane filtration"
"250","Forward Osmosis","NH3-NH4 removal efficiency","Ammonium Rejection; Obtained from Zhang et al., 2014a. (minimum)","%",65,17.3205080756888,"Membrane filtration"
"251","Forward Osmosis","PO4 removal efficiency","Phosphate and potassium rejection; Obtained from Zhang et al., 2014a.","%",90,0,"Membrane filtration"
"252","Freeze-thaw","N recovery efficiency","freeze thaw can achieve 80-90% N-recovery (minimum)","%",85,5.77350269189626,"Dehydration"
"253","Granular Sludge","Effluent TP concentration","Average for Mar-Dec 2014","mg/L P",0.9,0,"Granular Sludge"
"254","Granular Sludge","Effluent PO4 concentration","Average for Mar-Dec 2014","mg/L P",0.4,0,"Granular Sludge"
"255","Granular Sludge","Effluent TN concentration","Average for Mar-Dec 2014","mg/L N",6.9,0,"Granular Sludge"
"256","Granular Sludge","Effluent NH3-NH4 concentration","Average for Mar-Dec 2014","mg/L N",24.95,27.7431438977873,"Granular Sludge"
"257","Granular Sludge","Energy consumption for N removal","","MJ/kg N",12.96,0,"Granular Sludge"
"258","Granular Sludge","Effluent P concentration","Effluent PO4 from reactor in the last 3 months of operation","mg/L P",2.3,1.45945195193264,"Granular Sludge"
"259","Granular Sludge","Effluent NO2-NO3 concentration","Effluent NOx from reactor in the last 3 months of operation","mg/L N",0.33,0.424264068711929,"Granular Sludge"
"260","Granular Sludge","NH3-NH4 removal efficiency","Removal NH4 efficiency from reactor in the last 3 months of operation","%",81.4,0,"Granular Sludge"
"261","Granular Sludge","PO4 removal efficiency","Removal PO4 efficiency from reactor in the last 3 months of operation","%",94.1,0,"Granular Sludge"
"262","High-Rate Algal Pond or Raceway Pond","NH3-NH4 removal efficiency","Maximum removal rate of NH4: Ratio of the difference between NH4 concentration in the inlet and NH4 concentration in the outlet to the NH4 concentration in the inlet (200-mm pond during spring reason)","%",57.975,21.2304027281632,"Suspended microalgae"
"263","High-Rate Algal Pond or Raceway Pond","P removal efficiency","Maximum removal rate of dissolved reactive phosphorus (DRP): Ratio of the difference between NH4 concentration in the inlet and DRP concentration in the outlet to the NH4 concentration in the inlet (200-mm pond during spring reason)","%",33.075,22.7040965466587,"Suspended microalgae"
"264","Hybrid Anion Exchange","P recovery efficiency","For phosphate obtained in 12 bed volumes","%",95,0,"Ion Exchange/Adsorption"
"265","Hybrid Anion Exchange","Effluent PO4 concentration","Of effluent phosphate in fixed-bed test after 392 bed volumes (3 h)","mg/L P",3.1835,0.0767875858022141,"Ion Exchange/Adsorption"
"266","Hybrid Anion Exchange","PO4 removal efficiency","Of phosphate from the fresh urine in the first 5 min, kinetic test","%",42.5,22.5735265867809,"Ion Exchange/Adsorption"
"267","Hydrogen Recycling Electrochemical System (HRES) with External Transmembrane Chemisorption (TMCS) System","NH3-NH4 removal efficiency","Fraction of TAN removed based on influent and effluent concentrations; at current density of 10 A/sq. meter; for real urine","%",76,4.5,"Electrodialysis with stripping and absorption"
"268","Hydrogen Recycling Electrochemical System (HRES) with External Transmembrane Chemisorption (TMCS) System","NH3-NH4 recovery efficiency","Fraction of TAN removed based on change in TAN concentration in acid, influent flow, and influent TAN concentration during one HRT; at current density of 10 A/sq. meter; for real urine","%",65.6666666666667,5.7662812973354,"Electrodialysis with stripping and absorption"
"269","Hydrogen Recycling Electrochemical System (HRES) with External Transmembrane Chemisorption (TMCS) System","Energy consumption for N recovery","Energy demand due to cell voltage and potential losses; at current density of 10 A/sq. meter; for real urine","MJ/kg N",NA,NA,"Electrodialysis with stripping and absorption"
"270","Hydrogenotrophic Denitrification","NO3 removal rate","Nitrate reduction rate; At pH 8 (maximum) (std dev estimated from Figure 2)","kg N/m^3/d",NA,NA,"Hydrogenotrophic Denitrification"
"271","Indirect Electrochemical Ammonia Oxidation","NH3-NH4 removal rate","Ammonia; BDD anode for high-concentration urine at 20 mA/cm^2 (minimum)","kg N/m^3/d",NA,NA,"Oxidation Processes"
"272","Indirect Electrochemical Ammonia Oxidation","Energy consumption for N removal","TDIROF anode for high-concentration urine at 20 mA/cm^2; 40% ammonia removal","MJ/kg N",1082.7,1038.20363320497,"Oxidation Processes"
"273","Indirect Electrochemical Ammonia Oxidation","NH3-NH4 removal efficiency","Ammonia; Under optimal conditions of 10 mA/cm^2 and 250 mg/L chloride for real wastewater at an electric charge of 1.23 A-h/L","%",96,0,"Oxidation Processes"
"274","Indirect Electrochemical Ammonia Oxidation","NO3 removal efficiency","Under optimal conditions of 10 mA/cm^2 and 250 mg/L chloride for real wastewater at an electric charge of 1.23 A-h/L","%",36,0,"Oxidation Processes"
"275","Indirect Electrochemical Ammonia Oxidation","Effluent NH3-NH4 concentration","Ammonia; Under optimal conditions of 10 mA/cm^2 and 250 mg/L chloride for real wastewater at an electric charge of 1.23 A-h/L","mg/L N",0.3,0,"Oxidation Processes"
"276","Indirect Electrochemical Ammonia Oxidation","Effluent TN concentration","Under optimal conditions of 10 mA/cm^2 and 250 mg/L chloride for real wastewater at an electric charge of 1.23 A-h/L","mg/L N",14.18,0,"Oxidation Processes"
"277","Inverted Capacitive Deionization (i-CDI)","N removal efficiency","Maximum","%",30,0,"Capacitive Deionization"
"278","Inverted Capacitive Deionization (i-CDI)","Energy consumption for N removal","Energy normalized absorbed salt (ENAS), minimum (Figure 5)","MJ/kg N",8.1918215892054,8.05775253279006,"Capacitive Deionization"
"279","Inverted Capacitive Deionization (i-CDI)","NO3 removal rate","Average salt adsorption rate (ASAR); maximum (Figure 5)","kg N/m^3/d",NA,NA,"Capacitive Deionization"
"280","Inverted Capacitive Deionization (i-CDI)","Effluent NO3 concentration","Minimum during adsorption step (Figure 2)","mg/L N",NA,NA,"Capacitive Deionization"
"281","Ion Exchange","Energy consumption for N recovery","Adsorption (ion exchange) for N-recycle","MJ/kg N",116,0,"Ion Exchange/Adsorption"
"282","Iron-based Autotrophic Denitrification","Effluent NO3 concentration","Column test with 3 mL/h","mg/L N",19.6,0.707106781186548,"Iron-based Autotrophic Denitrification"
"283","Iron-based Autotrophic Denitrification","Effluent NO2 concentration","Column test with 3 mL/h; less than value listed","mg/L N",0.5,1,"Iron-based Autotrophic Denitrification"
"284","Iron-based Autotrophic Denitrification","Effluent NH3-NH4 concentration","Column test with 3 mL/h","mg/L N",15.5,0.707106781186548,"Iron-based Autotrophic Denitrification"
"285","Iron-based Autotrophic Denitrification","NO3 removal efficiency","Nitrate; column test with 10 mL/h","%",26,0,"Iron-based Autotrophic Denitrification"
"286","Iron Precipitation","P removal efficiency","Jar tests; For initial soluble P concentration between 0.5 and 6 mg/L and doses above 1.5 to 2 Medose/Pini (minimum)","%",89,10.3923048454133,"Precipitation"
"287","Iron Precipitation","Effluent PO4 concentration","Jar tests; Residual PO4-P concentration; In lab experiments using tap water, with initial soluble phosphorus concentrations of 0.5-12 mg/L and pH 3.5 to 8.5; less than value listed","mg/L P",NA,NA,"Precipitation"
"288","Iron Precipitation","PO4 removal efficiency","Average for system A (without chemical sludge recycle)","%",87.8571428571429,5.43905629069357,"Precipitation"
"289","Iron Precipitation","P recovery efficiency","Fraction of P extracted; Alkaline conditions (From FePs containing sludge from a WWTP using Fe electrolysis)","%",52.3333333333333,22.5249861265218,"Precipitation"
"290","Iron Precipitation","Effluent TP concentration","Dual-media GAC filter; less than value listed","mg/L P",0.15,0.0577350269189626,"Precipitation"
"291","Isobutylaldehyde-diurea (IBDU) Precipitation","TN recovery efficiency","Total nitrogen converted to solid; Factor of 4 concentrated urine, IBA stoichiometric coefficient of 3.33","%",75,0,"Precipitation"
"292","Isobutylaldehyde-diurea (IBDU) Precipitation","TP recovery efficiency","Total phosphorus converted to solid; Factor of 4 concentrated urine, IBA stoichiometric coefficient of 3.33","%",50,0,"Precipitation"
"293","Jet Loop Reactor Stripping","NH3-NH4 removal efficiency","Ammonia; target; From graph; at least","%",96,0,"Stripping and Absorption"
"294","Magnetic Ion Exchange (MIEX)","Effluent TP concentration","Mixed liquor with phosphate; surface loading rate of 15 m^3/m^2-h and MIEX loading of 25 mL/L MIEX","mg/L P",0.251666666666667,0.522436599024226,"Ion Exchange/Adsorption"
"295","Matrix Immobilized Microalgae in Twin-Layer System","Effluent NO3 concentration","Expressed in terms of final nitrate-N concentrations after 4 days of treatment (lag period of 1 day was observed) with municipal wastewater; initial concentration = 3.7-6.2 mg/L (C. vulgaris)","mg/L N",0.148333333333333,0.0559846917852168,"Immobilized algae"
"296","Matrix Immobilized Microalgae in Twin-Layer System","Effluent PO4 concentration","Expressed in terms of final phosphate concentrations after 2 days (initially 3 mg/L in the synthetic wastewater and 0.4-0.7 mg/L in the municipal wastewater); C. vulgaris","mg/L P",0.295,0.0404145188432736,"Immobilized algae"
"297","Matrix Immobilized Microalgae in Twin-Layer System","PO4 removal efficiency","Fraction of phosphate taken up by C. vulgaris within 2 days","%",89.5,0.577350269189626,"Immobilized algae"
"298","Matrix Immobilized Microalgae in Twin-Layer System","NH3-NH4 removal efficiency","Synthetic wastewater; C. Vulgaris (after 3 days)","%",84.25,11.6017240098185,"Immobilized algae"
"299","Membrane-Aerated Microbial Fuel Cell (MFC)","NH3-NH4 removal efficiency","Ammonia; DO of 2 mg/L","%",97.5,1.73205080756888,"Microbial Fuel Cell"
"300","Membrane-Aerated Microbial Fuel Cell (MFC)","TIN removal efficiency","DO of 2 mg/L","%",36,18.475208614068,"Microbial Fuel Cell"
"301","Membrane Capacitive Deionization (MCDI) and Ion Exchange","NH3-NH4 recovery flux","MCDI efficiency; For 3 charge-discharge cycles","kg N/m^2/d",NA,NA,"Capacitive Deionization"
"302","Membrane Capacitive Deionization (MCDI) and Ion Exchange","NH3-NH4 removal efficiency","Ammonium; After three cycles","%",35,0,"Capacitive Deionization"
"303","Membrane Stripping and Absorption","NH3-NH4 removal efficiency","Ammonia; Direct contact membrane distillation","%",77.375,18.6239093640406,"Stripping and Absorption"
"304","Membrane Stripping and Absorption","NH3-NH4 recovery efficiency","Ammonia; As reported by Ahn et al., 2011; using 1 M H2SO4 as stripping solution and synthetic wastewater; greater than value listed","%",97.225,3.19196908924064,"Stripping and Absorption"
"305","Membrane Stripping and Absorption","Effluent NH3-NH4 concentration","Ammonia; stand-alone ammonia separation tank; after 2 days","mg/L N",635,77.5026881254235,"Stripping and Absorption"
"306","Membrane Stripping and Absorption","P removal efficiency","Stand-alone P recovery tank after ammonia separation tank","%",94.8,0.23094010767312,"Stripping and Absorption"
"307","Membrane Stripping and Absorption","P recovery efficiency","Stand-alone P recovery tank after ammonia separation tank","%",105.45,7.44781847254609,"Stripping and Absorption"
"308","Membrane Stripping and Absorption","Effluent P concentration","Stand-alone P recovery tank after ammonia separation tank","mg/L P",22.5,2.16024689946929,"Stripping and Absorption"
"309","Membrane Stripping and Absorption","N removal efficiency","Combined N and P recovery tank with aeration only; after 5-6 days","%",97.1,0,"Stripping and Absorption"
"310","Membrane Stripping and Absorption","N recovery efficiency","Combined N and P recovery tank with aeration only; after 5-6 days","%",93.3,0,"Stripping and Absorption"
